Unet_final_w22,Unet_final_w24,Unet_final_w33,Unet_final_w39,Unet_final_w1010,Unet_final_w1020,Unet_final_w2020,Unet_final_w2040,Unet_final_w5050
0.0,0.2558139534883721,0.2746478873239437,0.27102803738317754,0.5193621867881549,0.24065420560747663,0.0,0.2700228832951945,0.23048327137546468
0.0025380710659898475,0.22113022113022113,0.23514851485148514,0.23774509803921567,0.4975609756097561,0.21782178217821782,0.0,0.2354368932038835,0.21374045801526717
0.0,0.11653116531165311,0.05420054200542006,0.1945945945945946,0.40954773869346733,0.17473118279569894,0.0,0.22715404699738903,0.20833333333333334
0.0,0.11224489795918367,0.006802721088435374,0.12292358803986711,0.5301204819277109,0.029411764705882353,0.0,0.23961661341853036,0.15120967741935484
0.0,0.07738095238095238,0.0,0.1712538226299694,0.5288220551378446,0.0,0.0,0.42016806722689076,0.15935334872979215
0.13175675675675674,0.17532467532467533,0.0,0.30132450331125826,0.5028409090909091,0.0,0.0,0.46745562130177515,0.14065934065934066
0.4899328859060403,0.2668621700879765,0.43812709030100333,0.3987538940809969,0.5145888594164456,0.0,0.0,0.5422343324250681,0.15800865800865802
0.5985663082437276,0.6198630136986302,0.5441696113074205,0.5540540540540541,0.5251396648044693,0.007168458781362007,0.0,0.5462962962962963,0.15418502202643172
0.5772058823529411,0.572992700729927,0.5345454545454545,0.5547445255474452,0.4633431085043988,0.3508771929824561,0.0,0.5164473684210527,0.1444954128440367
0.47843137254901963,0.4823529411764706,0.46825396825396826,0.48828125,0.47388059701492535,0.4314516129032258,0.0,0.4807692307692308,0.18789808917197454
0.3803418803418803,0.3090128755364807,0.3203463203463203,0.3191489361702128,0.384297520661157,0.07234042553191489,0.0,0.3333333333333333,0.18888888888888888
0.31155778894472363,0.19796954314720813,0.19487179487179487,0.041884816753926704,0.18518518518518517,0.050761421319796954,0.0,0.18552036199095023,0.10309278350515463
0.07,0.0,0.03409090909090909,0.011363636363636364,0.042328042328042326,0.0,0.0,0.1111111111111111,0.0
0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0
0.0,0.01809954751131222,0.0,0.0,0.0,0.0,0.0,0.05741626794258373,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053742802303262956,0.0,0.013539651837524178,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.016333938294010888,0.0,0.0,0.0,0.0
0.0,0.0,0.055248618784530384,0.003656307129798903,0.04727272727272727,0.001838235294117647,0.0,0.03684210526315789,0.0
0.3411764705882353,0.3015267175572519,0.3282442748091603,0.1218568665377176,0.4166666666666667,0.25626204238921,0.0,0.30671506352087113,0.10172143974960876
0.5741710296684118,0.6397188049209139,0.5954063604240283,0.3339160839160839,0.4957118353344768,0.2791095890410959,0.0,0.7377049180327869,0.1590594744121715
0.7100175746924429,0.7125220458553791,0.4851657940663176,0.4181184668989547,0.6245733788395904,0.21621621621621623,0.0,0.717741935483871,0.12442396313364056
0.6599264705882353,0.6781193490054249,0.4714548802946593,0.4732142857142857,0.795774647887324,0.2153558052434457,0.0,0.7392739273927392,0.16237942122186494
0.6944444444444444,0.6895306859205776,0.7127272727272728,0.5080500894454383,0.8241379310344827,0.2537037037037037,0.0,0.7029702970297029,0.22585438335809807
0.8351851851851851,0.801094890510949,0.8136531365313653,0.5567567567567567,0.9071428571428571,0.2795497185741088,0.0,0.8642611683848798,0.3091715976331361
